"Date","State","Employed_Persons"
"Jul-1982","New.South.Wales",2239.2
"Jul-1982","Victoria",1720
"Jul-1982","Queensland",1004.2
"Jul-1982","South.Australia",554.6
"Jul-1982","Western.Australia",577.3
"Jul-1982","Tasmania",169.6
"Jul-1982","Northern.Territory",60.3
"Jul-1982","Australian.Capital.Territory",100.7
"Aug-1982","New.South.Wales",2227
"Aug-1982","Victoria",1717
"Aug-1982","Queensland",988.1
"Aug-1982","South.Australia",549.9
"Aug-1982","Western.Australia",573
"Aug-1982","Tasmania",167
"Aug-1982","Northern.Territory",58.3
"Aug-1982","Australian.Capital.Territory",99
"Sep-1982","New.South.Wales",2241.4
"Sep-1982","Victoria",1725.3
"Sep-1982","Queensland",1005.7
"Sep-1982","South.Australia",554.8
"Sep-1982","Western.Australia",585.9
"Sep-1982","Tasmania",168.9
"Sep-1982","Northern.Territory",60.9
"Sep-1982","Australian.Capital.Territory",100.5
"Oct-1982","New.South.Wales",2218.2
"Oct-1982","Victoria",1709.9
"Oct-1982","Queensland",1020.1
"Oct-1982","South.Australia",565.8
"Oct-1982","Western.Australia",581.4
"Oct-1982","Tasmania",162.5
"Oct-1982","Northern.Territory",62.9
"Oct-1982","Australian.Capital.Territory",100.1
"Nov-1982","New.South.Wales",2209.7
"Nov-1982","Victoria",1683.8
"Nov-1982","Queensland",1007.6
"Nov-1982","South.Australia",560.5
"Nov-1982","Western.Australia",579.4
"Nov-1982","Tasmania",165.9
"Nov-1982","Northern.Territory",59.1
"Nov-1982","Australian.Capital.Territory",100.8
"Dec-1982","New.South.Wales",2195.7
"Dec-1982","Victoria",1702.7
"Dec-1982","Queensland",1002.1
"Dec-1982","South.Australia",559.1
"Dec-1982","Western.Australia",583.6
"Dec-1982","Tasmania",167
"Dec-1982","Northern.Territory",56.4
"Dec-1982","Australian.Capital.Territory",103.6
"Jan-1983","New.South.Wales",2145.5
"Jan-1983","Victoria",1649.9
"Jan-1983","Queensland",955.1
"Jan-1983","South.Australia",534.3
"Jan-1983","Western.Australia",568.6
"Jan-1983","Tasmania",164.1
"Jan-1983","Northern.Territory",56.4
"Jan-1983","Australian.Capital.Territory",98.1
"Feb-1983","New.South.Wales",2182.2
"Feb-1983","Victoria",1673.5
"Feb-1983","Queensland",963.4
"Feb-1983","South.Australia",550.6
"Feb-1983","Western.Australia",569.1
"Feb-1983","Tasmania",164.3
"Feb-1983","Northern.Territory",57.9
"Feb-1983","Australian.Capital.Territory",102.8
"Mar-1983","New.South.Wales",2189.7
"Mar-1983","Victoria",1677.6
"Mar-1983","Queensland",984.4
"Mar-1983","South.Australia",552.2
"Mar-1983","Western.Australia",576.1
"Mar-1983","Tasmania",166.5
"Mar-1983","Northern.Territory",60
"Mar-1983","Australian.Capital.Territory",103.9
