Survey month,State and territory,Leave entitlements,Industry,Median Weekly Earnings,,,,,,,,,,,,,,
2015,   Queensland,Total employees,Wholesale trade,"1,059.0",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Retail trade,881.3,,,,,,,,,,,,,,
2015,   Queensland,Total employees,Accommodation and food services,949.5,,,,,,,,,,,,,,
2015,   Queensland,Total employees,"Transport, postal and warehousing","1,200.0",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Information Media and telecommunications,"1,255.1",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Financial and insurance services,"1,196.8",,,,,,,,,,,,,,
2015,   Queensland,Total employees,"Rental, hiring and real estate services","1,145.7",,,,,,,,,,,,,,
2015,   Queensland,Total employees,"Professional, scientific and technical services","1,364.5",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Administrative and support services,"1,050.2",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Public administration and safety,"1,252.3",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Education and training,"1,349.1",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Health care and social assistance,"1,188.7",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Arts and recreation services,"1,050.0",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Other services,"1,144.8",,,,,,,,,,,,,,
2015,   South Australia,Total employees,"Agriculture, forestry and fishing",997.2,,,,,,,,,,,,,,
2015,   South Australia,Total employees,Mining,"2,301.0",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Manufacturing,"1,100.0",,,,,,,,,,,,,,
2015,   South Australia,Total employees,"Electricity, gas, water and waste services","1,386.4",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Construction,"1,175.8",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Wholesale trade,"1,059.4",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Retail trade,941.6,,,,,,,,,,,,,,
2015,   South Australia,Total employees,Accommodation and food services,933.4,,,,,,,,,,,,,,
2015,   South Australia,Total employees,"Transport, postal and warehousing","1,200.0",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Information Media and telecommunications,"1,327.8",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Financial and insurance services,"1,250.0",,,,,,,,,,,,,,
2015,   South Australia,Total employees,"Rental, hiring and real estate services","1,304.7",,,,,,,,,,,,,,
2015,   South Australia,Total employees,"Professional, scientific and technical services","1,445.1",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Administrative and support services,"1,040.5",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Public administration and safety,"1,400.0",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Education and training,"1,443.3",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Health care and social assistance,"1,150.0",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Arts and recreation services,"1,075.1",,,,,,,,,,,,,,
2015,   South Australia,Total employees,Other services,"1,000.0",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,"Agriculture, forestry and fishing","1,000.0",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Mining,"2,099.9",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Manufacturing,"1,250.0",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,"Electricity, gas, water and waste services","1,574.6",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Construction,"1,308.7",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Wholesale trade,"1,226.8",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Retail trade,974.3,,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Accommodation and food services,985.4,,,,,,,,,,,,,,
2015,   Western Australia,Total employees,"Transport, postal and warehousing","1,323.4",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Information Media and telecommunications,"1,579.0",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Financial and insurance services,"1,453.5",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,"Rental, hiring and real estate services","1,105.5",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,"Professional, scientific and technical services","1,626.8",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Administrative and support services,"1,199.7",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Public administration and safety,"1,500.0",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Education and training,"1,483.4",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Health care and social assistance,"1,200.0",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Arts and recreation services,"1,035.3",,,,,,,,,,,,,,
2015,   Western Australia,Total employees,Other services,"1,205.7",,,,,,,,,,,,,,
2015,   Tasmania,Total employees,"Agriculture, forestry and fishing",912.1,,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Mining,"1,284.7",,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Manufacturing,"1,200.0",,,,,,,,,,,,,,
2015,   Tasmania,Total employees,"Electricity, gas, water and waste services","1,500.0",,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Construction,"1,100.0",,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Wholesale trade,998.1,,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Retail trade,850.0,,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Accommodation and food services,892.5,,,,,,,,,,,,,,
2015,   Tasmania,Total employees,"Transport, postal and warehousing","1,100.0",,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Information Media and telecommunications,"1,398.3",,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Financial and insurance services,"1,347.2",,,,,,,,,,,,,,
2015,   Tasmania,Total employees,"Rental, hiring and real estate services",906.7,,,,,,,,,,,,,,
2015,   Tasmania,Total employees,"Professional, scientific and technical services","1,352.6",,,,,,,,,,,,,,
